label,Text
14,"['recognition', 'services', 'discovery', 'inert', 'gaseous', 'elements', 'air', 'determination', 'place', 'periodic', 'system']"
1,"['recognition', 'work', 'physiology', 'digestion', 'knowledge', 'vital', 'aspects', 'subject', 'transformed', 'enlarged']"
3,"['recognition', 'fresh', 'originality', 'true', 'inspiration', 'poetic', 'production', 'faithfully', 'reflects', 'natural', 'scenery', 'native', 'spirit', 'people', 'addition', 'significant', 'work', 'Provenccedilal', 'philologist']"
14,"['recognition', 'services', 'advancement', 'organic', 'chemistry', 'chemical', 'industry', 'work', 'organic', 'dyes', 'hydroaromatic', 'compounds']"
3,"['outstanding', 'merits', 'epic', 'writer']"
0,"['work', 'cathode', 'rays']"
2,"['audacity', 'oppose', 'horrors', 'war']"
1,"['investigations', 'discoveries', 'relation', 'tuberculosis']"
3,"['consideration', 'deep', 'learning', 'critical', 'research', 'tribute', 'creative', 'energy', 'freshness', 'style', 'lyrical', 'force', 'characterize', 'poetic', 'masterpieces']"
2,"['role', 'bringing', 'end', 'bloody', 'war', 'recently', 'waged', 'two', 'worlds', 'great', 'powers', 'Japan', 'Russia']"
0,"['recognition', 'great', 'merits', 'theoretical', 'experimental', 'investigations', 'conduction', 'electricity', 'gases']"
1,"['recognition', 'work', 'structure', 'nervous', 'system']"
14,"['recognition', 'great', 'services', 'rendered', 'investigation', 'isolation', 'element', 'fluorine', 'adoption', 'service', 'science', 'electric', 'furnace', 'called']"
1,"['recognition', 'work', 'structure', 'nervous', 'system']"
1,"['recognition', 'work', 'role', 'played', 'protozoa', 'causing', 'diseases']"
14,"['biochemical', 'researches', 'discovery', 'cellfree', 'fermentation']"
3,"['consideration', 'power', 'observation', 'originality', 'imagination', 'virility', 'ideas', 'remarkable', 'talent', 'narration', 'characterize', 'creations', 'worldfamous', 'author']"
2,"['decisive', 'influence', 'upon', 'conduct', 'outcome', 'Hague', 'Geneva', 'Conferences']"
2,"['work', 'press', 'peace', 'meetings', 'public', 'private', 'understanding', 'France', 'Italy']"
0,"['optical', 'precision', 'instruments', 'spectroscopic', 'metrological', 'investigations', 'carried', 'aid']"
14,"['investigations', 'disintegration', 'elements', 'chemistry', 'radioactive', 'substances']"
3,"['recognition', 'earnest', 'search', 'truth', 'penetrating', 'power', 'thought', 'wide', 'range', 'vision', 'warmth', 'strength', 'presentation', 'numerous', 'works', 'vindicated', 'developed', 'idealistic', 'philosophy', 'life']"
2,"['long', 'time', 'work', 'cause', 'peace', 'politicians', 'peace', 'society', 'leaders', 'orators', 'authors']"
1,"['recognition', 'work', 'immunity']"
1,"['recognition', 'work', 'immunity']"
2,"['long', 'time', 'work', 'cause', 'peace', 'politicians', 'peace', 'society', 'leaders', 'orators', 'authors']"
0,"['method', 'reproducing', 'colours', 'photographically', 'based', 'phenomenon', 'interference']"
0,"['recognition', 'contributions', 'development', 'wireless', 'telegraphy']"
1,"['work', 'physiology', 'pathology', 'surgery', 'thyroid', 'gland']"
3,"['appreciation', 'lofty', 'idealism', 'vivid', 'imagination', 'spiritual', 'perception', 'characterize', 'writings']"
14,"['recognition', 'work', 'catalysis', 'investigations', 'fundamental', 'principles', 'governing', 'chemical', 'equilibria', 'rates', 'reaction']"
0,"['recognition', 'contributions', 'development', 'wireless', 'telegraphy']"
2,"['prominent', 'position', 'international', 'movement', 'peace', 'arbitration']"
2,"['prominent', 'position', 'international', 'movement', 'peace', 'arbitration']"
3,"['tribute', 'consummate', 'artistry', 'permeated', 'idealism', 'demonstrated', 'long', 'productive', 'career', 'lyric', 'poet', 'dramatist', 'novelist', 'writer', 'worldrenowned', 'short', 'stories']"
2,"['acting', 'link', 'peace', 'societies', 'various', 'countries', 'helping', 'organize', 'world', 'rallies', 'international', 'peace', 'movement']"
0,"['work', 'equation', 'state', 'gases', 'liquids']"
1,"['recognition', 'contributions', 'knowledge', 'cell', 'chemistry', 'made', 'work', 'proteins', 'including', 'nucleic', 'substances']"
14,"['recognition', 'services', 'organic', 'chemistry', 'chemical', 'industry', 'pioneer', 'work', 'field', 'alicyclic', 'compounds']"
2,"['effort', 'expose', 'fight', 'considers', 'main', 'cause', 'war', 'namely', 'anarchy', 'international', 'relations']"
2,"['role', 'cofounder', 'Institut', 'de', 'droit', 'international', 'initiator', 'Conferences', 'International', 'Private', 'Law', 'Conférences', 'de', 'Droit', 'international', 'privé', 'Hague', 'pioneer', 'field', 'international', 'legal', 'relations']"
14,"['recognition', 'services', 'advancement', 'chemistry', 'discovery', 'elements', 'radium', 'polonium', 'isolation', 'radium', 'study', 'nature', 'compounds', 'remarkable', 'element']"
14,"['recognition', 'services', 'advancement', 'chemistry', 'discovery', 'elements', 'radium', 'polonium', 'isolation', 'radium', 'study', 'nature', 'compounds', 'remarkable', 'element']"
0,"['discoveries', 'regarding', 'laws', 'governing', 'radiation', 'heat']"
3,"['appreciation', 'manysided', 'literary', 'activities', 'especially', 'dramatic', 'works', 'distinguished', 'wealth', 'imagination', 'poetic', 'fancy', 'reveals', 'sometimes', 'guise', 'fairy', 'tale', 'deep', 'inspiration', 'mysterious', 'way', 'appeal', 'readers', 'feelings', 'stimulate', 'imaginations']"
1,"['work', 'dioptrics', 'eye']"
3,"['primarily', 'recognition', 'fruitful', 'varied', 'outstanding', 'production', 'realm', 'dramatic', 'art']"
1,"['recognition', 'work', 'vascular', 'suture', 'transplantation', 'blood', 'vessels', 'organs']"
14,"['method', 'hydrogenating', 'organic', 'compounds', 'presence', 'finely', 'disintegrated', 'metals', 'whereby', 'progress', 'organic', 'chemistry', 'greatly', 'advanced', 'recent', 'years']"
14,"['discovery', 'socalled', 'Grignard', 'reagent', 'recent', 'years', 'greatly', 'advanced', 'progress', 'organic', 'chemistry']"
0,"['invention', 'automatic', 'regulators', 'use', 'conjunction', 'gas', 'accumulators', 'illuminating', 'lighthouses', 'buoys']"
2,"['bringing', 'better', 'understanding', 'countries', 'North', 'South', 'America', 'initiating', 'important', 'arbitration', 'agreements', 'United', 'States', 'countries']"
1,"['recognition', 'work', 'anaphylaxis']"
14,"['recognition', 'work', 'linkage', 'atoms', 'molecules', 'thrown', 'new', 'light', 'earlier', 'investigations', 'opened', 'new', 'fields', 'research', 'especially', 'inorganic', 'chemistry']"
2,"['unparalleled', 'contribution', 'organization', 'peaceful', 'internationalism']"
3,"['profoundly', 'sensitive', 'fresh', 'beautiful', 'verse', 'consummate', 'skill', 'made', 'poetic', 'thought', 'expressed', 'English', 'words', 'part', 'literature', 'West']"
0,"['investigations', 'properties', 'matter', 'low', 'temperatures', 'led', 'inter', 'alia', 'production', 'liquid', 'helium']"
0,"['discovery', 'diffraction', 'Xrays', 'crystals']"
1,"['work', 'physiology', 'pathology', 'vestibular', 'apparatus']"
14,"['recognition', 'accurate', 'determinations', 'atomic', 'weight', 'large', 'number', 'chemical', 'elements']"
0,"['services', 'analysis', 'crystal', 'structure', 'means', 'Xrays']"
0,"['services', 'analysis', 'crystal', 'structure', 'means', 'Xrays']"
14,"['researches', 'plant', 'pigments', 'especially', 'chlorophyll']"
3,"['tribute', 'lofty', 'idealism', 'literary', 'production', 'sympathy', 'love', 'truth', 'described', 'different', 'types', 'human', 'beings']"
3,"['recognition', 'significance', 'leading', 'representative', 'new', 'era', 'literature']"
2,"['efforts', 'take', 'care', 'wounded', 'soldiers', 'prisoners', 'war', 'families']"
2,"['efforts', 'take', 'care', 'wounded', 'soldiers', 'prisoners', 'war', 'families']"
2,"['efforts', 'take', 'care', 'wounded', 'soldiers', 'prisoners', 'war', 'families']"
0,"['discovery', 'characteristic', 'Roumlntgen', 'radiation', 'elements']"
3,"['varied', 'rich', 'poetry', 'inspired', 'lofty', 'ideals']"
3,"['authentic', 'descriptions', 'presentday', 'life', 'Denmark']"
0,"['recognition', 'services', 'rendered', 'advancement', 'Physics', 'discovery', 'energy', 'quanta']"
14,"['synthesis', 'ammonia', 'elements']"
2,"['role', 'founder', 'League', 'Nations']"
1,"['discoveries', 'relating', 'immunity']"
0,"['discovery', 'Doppler', 'effect', 'canal', 'rays', 'splitting', 'spectral', 'lines', 'electric', 'fields']"
3,"['special', 'appreciation', 'epic', 'IOlympian', 'SpringI']"
0,"['recognition', 'service', 'rendered', 'precision', 'measurements', 'Physics', 'discovery', 'anomalies', 'nickel', 'steel', 'alloys']"
14,"['recognition', 'work', 'thermochemistry']"
1,"['discovery', 'capillary', 'motor', 'regulating', 'mechanism']"
2,"['longstanding', 'contribution', 'cause', 'peace', 'justice', 'prominent', 'role', 'establishment', 'League', 'Nations']"
3,"['monumental', 'work', 'IGrowth', 'SoilI']"
3,"['recognition', 'brilliant', 'literary', 'achievements', 'characterized', 'nobility', 'style', 'profound', 'human', 'sympathy', 'grace', 'true', 'Gallic', 'temperament']"
2,"['lifelong', 'contributions', 'cause', 'peace', 'organized', 'internationalism']"
0,"['services', 'Theoretical', 'Physics', 'especially', 'discovery', 'law', 'photoelectric', 'effect']"
14,"['contributions', 'knowledge', 'chemistry', 'radioactive', 'substances', 'investigations', 'origin', 'nature', 'isotopes']"
2,"['lifelong', 'contributions', 'cause', 'peace', 'organized', 'internationalism']"
0,"['services', 'investigation', 'structure', 'atoms', 'radiation', 'emanating']"
2,"['leading', 'role', 'repatriation', 'prisoners', 'war', 'international', 'relief', 'work', 'League', 'Nations', 'High', 'Commissioner', 'refugees']"
14,"['discovery', 'means', 'mass', 'spectrograph', 'isotopes', 'large', 'number', 'nonradioactive', 'elements', 'enunciation', 'wholenumber', 'rule']"
1,"['discovery', 'fixed', 'relationship', 'consumption', 'oxygen', 'metabolism', 'lactic', 'acid', 'muscle']"
3,"['happy', 'manner', 'continued', 'illustrious', 'traditions', 'Spanish', 'drama']"
1,"['discovery', 'relating', 'production', 'heat', 'muscle']"
1,"['discovery', 'insulin']"
1,"['discovery', 'insulin']"
0,"['work', 'elementary', 'charge', 'electricity', 'photoelectric', 'effect']"
14,"['invention', 'method', 'microanalysis', 'organic', 'substances']"
3,"['always', 'inspired', 'poetry', 'highly', 'artistic', 'form', 'gives', 'expression', 'spirit', 'whole', 'nation']"
3,"['great', 'national', 'epic', 'IThe', 'PeasantsI']"
1,"['discovery', 'mechanism', 'electrocardiogram']"
0,"['discoveries', 'research', 'field', 'Xray', 'spectroscopy']"
0,"['discovery', 'laws', 'governing', 'impact', 'electron', 'upon', 'atom']"
0,"['discovery', 'laws', 'governing', 'impact', 'electron', 'upon', 'atom']"
2,"['crucial', 'role', 'bringing', 'Locarno', 'Treaty']"
2,"['crucial', 'role', 'bringing', 'Dawes', 'Plan']"
14,"['demonstration', 'heterogenous', 'nature', 'colloid', 'solutions', 'methods', 'used', 'since', 'become', 'fundamental', 'modern', 'colloid', 'chemistry']"
3,"['work', 'marked', 'idealism', 'humanity', 'stimulating', 'satire', 'often', 'infused', 'singular', 'poetic', 'beauty']"
2,"['crucial', 'role', 'bringing', 'Locarno', 'Treaty']"
2,"['crucial', 'role', 'bringing', 'Locarno', 'Treaty']"
3,"['idealistically', 'inspired', 'writings', 'plastic', 'clarity', 'picture', 'life', 'native', 'island', 'depth', 'sympathy', 'deal', 'human', 'problems', 'general']"
1,"['discovery', 'Spiroptera', 'carcinoma']"
0,"['work', 'discontinuous', 'structure', 'matter', 'especially', 'discovery', 'sedimentation', 'equilibrium']"
14,"['work', 'disperse', 'systems']"
3,"['recognition', 'rich', 'vitalizing', 'ideas', 'brilliant', 'skill', 'presented']"
2,"['contribution', 'emergence', 'France', 'Germany', 'public', 'opinion', 'favours', 'peaceful', 'international', 'cooperation']"
0,"['discovery', 'effect', 'named']"
0,"['method', 'making', 'paths', 'electrically', 'charged', 'particles', 'visible', 'condensation', 'vapour']"
1,"['discovery', 'therapeutic', 'value', 'malaria', 'inoculation', 'treatment', 'dementia', 'paralytica']"
14,"['investigations', 'constitution', 'bile', 'acids', 'related', 'substances']"
2,"['contribution', 'emergence', 'France', 'Germany', 'public', 'opinion', 'favours', 'peaceful', 'international', 'cooperation']"
1,"['work', 'typhus']"
14,"['services', 'rendered', 'research', 'constitution', 'sterols', 'connection', 'vitamins']"
0,"['work', 'thermionic', 'phenomenon', 'especially', 'discovery', 'law', 'named']"
3,"['principally', 'powerful', 'descriptions', 'Northern', 'life', 'Middle', 'Ages']"
14,"['investigations', 'fermentation', 'sugar', 'fermentative', 'enzymes']"
14,"['investigations', 'fermentation', 'sugar', 'fermentative', 'enzymes']"
1,"['discovery', 'antineuritic', 'vitamin']"
0,"['discovery', 'wave', 'nature', 'electrons']"
3,"['principally', 'great', 'novel', 'IBuddenbrooksI', 'steadily', 'increased', 'recognition', 'one', 'classic', 'works', 'contemporary', 'literature']"
1,"['discovery', 'growthstimulating', 'vitamins']"
2,"['crucial', 'role', 'bringing', 'BriandKellogg', 'Pact']"
3,"['vigorous', 'graphic', 'art', 'description', 'ability', 'create', 'wit', 'humour', 'new', 'types', 'characters']"
1,"['discovery', 'human', 'blood', 'groups']"
14,"['researches', 'constitution', 'haemin', 'chlorophyll', 'especially', 'synthesis', 'haemin']"
2,"['promoting', 'Christian', 'unity', 'helping', 'create', 'new', 'attitude', 'mind', 'necessary', 'peace', 'nations', 'become', 'reality']"
0,"['work', 'scattering', 'light', 'discovery', 'effect', 'named']"
1,"['discovery', 'nature', 'mode', 'action', 'respiratory', 'enzyme']"
14,"['recognition', 'contributions', 'invention', 'development', 'chemical', 'high', 'pressure', 'methods']"
14,"['recognition', 'contributions', 'invention', 'development', 'chemical', 'high', 'pressure', 'methods']"
3,"['poetry', 'Erik', 'Axel', 'Karlfeldt']"
2,"['assiduous', 'effort', 'revive', 'ideal', 'peace', 'rekindle', 'spirit', 'peace', 'nation', 'whole', 'mankind']"
2,"['assiduous', 'effort', 'revive', 'ideal', 'peace', 'rekindle', 'spirit', 'peace', 'nation', 'whole', 'mankind']"
1,"['discoveries', 'regarding', 'functions', 'neurons']"
1,"['discoveries', 'regarding', 'functions', 'neurons']"
0,"['creation', 'quantum', 'mechanics', 'application', 'inter', 'alia', 'led', 'discovery', 'allotropic', 'forms', 'hydrogen']"
3,"['distinguished', 'art', 'narration', 'takes', 'highest', 'form', 'IThe', 'Forsyte', 'SagaI']"
14,"['discoveries', 'investigations', 'surface', 'chemistry']"
0,"['discovery', 'new', 'productive', 'forms', 'atomic', 'theory']"
0,"['discovery', 'new', 'productive', 'forms', 'atomic', 'theory']"
2,"['exposed', 'pen', 'illusion', 'war', 'presented', 'convincing', 'plea', 'international', 'cooperation', 'peace']"
1,"['discoveries', 'concerning', 'role', 'played', 'chromosome', 'heredity']"
3,"['strict', 'artistry', 'carried', 'classical', 'Russian', 'traditions', 'prose', 'writing']"
1,"['discoveries', 'concerning', 'liver', 'therapy', 'cases', 'anaemia']"
14,"['discovery', 'heavy', 'hydrogen']"
3,"['bold', 'ingenious', 'revival', 'dramatic', 'scenic', 'art']"
1,"['discoveries', 'concerning', 'liver', 'therapy', 'cases', 'anaemia']"
1,"['discoveries', 'concerning', 'liver', 'therapy', 'cases', 'anaemia']"
2,"['untiring', 'struggle', 'courageous', 'efforts', 'Chairman', 'League', 'Nations', 'Disarmament', 'Conference', '193134']"
14,"['recognition', 'synthesis', 'new', 'radioactive', 'elements']"
14,"['recognition', 'synthesis', 'new', 'radioactive', 'elements']"
0,"['discovery', 'neutron']"
1,"['discovery', 'organizer', 'effect', 'embryonic', 'development']"
2,"['burning', 'love', 'freedom', 'thought', 'expression', 'valuable', 'contribution', 'cause', 'peace']"
14,"['contributions', 'knowledge', 'molecular', 'structure', 'investigations', 'dipole', 'moments', 'diffraction', 'Xrays', 'electrons', 'gases']"
1,"['discoveries', 'relating', 'chemical', 'transmission', 'nerve', 'impulses']"
0,"['discovery', 'cosmic', 'radiation']"
1,"['discoveries', 'relating', 'chemical', 'transmission', 'nerve', 'impulses']"
0,"['discovery', 'positron']"
2,"['role', 'father', 'Argentine', 'Antiwar', 'Pact', '1933', 'also', 'used', 'means', 'mediate', 'peace', 'Paraguay', 'Bolivia', '1935']"
3,"['power', 'honesty', 'deepfelt', 'emotions', 'dramatic', 'works', 'embody', 'original', 'concept', 'tragedy']"
0,"['experimental', 'discovery', 'diffraction', 'electrons', 'crystals']"
1,"['discoveries', 'connection', 'biological', 'combustion', 'processes', 'special', 'reference', 'vitamin', 'C', 'catalysis', 'fumaric', 'acid']"
14,"['investigations', 'carbohydrates', 'vitamin', 'C']"
0,"['experimental', 'discovery', 'diffraction', 'electrons', 'crystals']"
2,"['tireless', 'effort', 'support', 'League', 'Nations', 'disarmament', 'peace']"
3,"['artistic', 'power', 'truth', 'depicted', 'human', 'conflict', 'well', 'fundamental', 'aspects', 'contemporary', 'life', 'novelcycle', 'ILes', 'ThibaultI']"
14,"['investigations', 'carotenoids', 'flavins', 'vitamins', 'B2']"
0,"['demonstrations', 'existence', 'new', 'radioactive', 'elements', 'produced', 'neutron', 'irradiation', 'related', 'discovery', 'nuclear', 'reactions', 'brought', 'slow', 'neutrons']"
14,"['work', 'carotenoids', 'vitamins']"
1,"['discovery', 'role', 'played', 'sinus', 'aortic', 'mechanisms', 'regulation', 'respiration']"
2,"['carried', 'work', 'Fridtjof', 'Nansen', 'benefit', 'refugees', 'across', 'Europe']"
3,"['rich', 'truly', 'epic', 'descriptions', 'peasant', 'life', 'China', 'biographical', 'masterpieces']"
1,"['discovery', 'antibacterial', 'effects', 'prontosil']"
0,"['invention', 'development', 'cyclotron', 'results', 'obtained', 'especially', 'regard', 'artificial', 'radioactive', 'elements']"
14,"['work', 'polymethylenes', 'higher', 'terpenes']"
14,"['work', 'sex', 'hormones']"
3,"['deep', 'understanding', 'countrys', 'peasantry', 'exquisite', 'art', 'portrayed', 'way', 'life', 'relationship', 'Nature']"
1,"['discovery', 'vitamin', 'K']"
1,"['discovery', 'chemical', 'nature', 'vitamin', 'K']"
14,"['work', 'use', 'isotopes', 'tracers', 'study', 'chemical', 'processes']"
0,"['contribution', 'development', 'molecular', 'ray', 'method', 'discovery', 'magnetic', 'moment', 'proton']"
1,"['discoveries', 'relating', 'highly', 'differentiated', 'functions', 'single', 'nerve', 'fibres']"
3,"['rare', 'strength', 'fertility', 'poetic', 'imagination', 'combined', 'intellectual', 'curiosity', 'wide', 'scope', 'bold', 'freshly', 'creative', 'style']"
1,"['discoveries', 'relating', 'highly', 'differentiated', 'functions', 'single', 'nerve', 'fibres']"
14,"['discovery', 'fission', 'heavy', 'nuclei']"
2,"['great', 'work', 'performed', 'war', 'behalf', 'humanity']"
2,"['great', 'work', 'performed', 'war', 'behalf', 'humanity']"
2,"['great', 'work', 'performed', 'war', 'behalf', 'humanity']"
0,"['resonance', 'method', 'recording', 'magnetic', 'properties', 'atomic', 'nuclei']"
0,"['discovery', 'Exclusion', 'Principle', 'also', 'called', 'Pauli', 'Principle']"
3,"['lyric', 'poetry', 'inspired', 'powerful', 'emotions', 'made', 'name', 'symbol', 'idealistic', 'aspirations', 'entire', 'Latin', 'American', 'world']"
14,"['research', 'inventions', 'agricultural', 'nutrition', 'chemistry', 'especially', 'fodder', 'preservation', 'method']"
2,"['indefatigable', 'work', 'international', 'understanding', 'pivotal', 'role', 'establishing', 'United', 'Nations']"
1,"['discovery', 'penicillin', 'curative', 'effect', 'various', 'infectious', 'diseases']"
1,"['discovery', 'penicillin', 'curative', 'effect', 'various', 'infectious', 'diseases']"
1,"['discovery', 'penicillin', 'curative', 'effect', 'various', 'infectious', 'diseases']"
2,"['contribution', 'creation', 'peacepromoting', 'religious', 'brotherhood', 'across', 'national', 'boundaries']"
0,"['invention', 'apparatus', 'produce', 'extremely', 'high', 'pressures', 'discoveries', 'made', 'therewith', 'field', 'high', 'pressure', 'physics']"
14,"['discovery', 'enzymes', 'crystallized']"
14,"['preparation', 'enzymes', 'virus', 'proteins', 'pure', 'form']"
14,"['preparation', 'enzymes', 'virus', 'proteins', 'pure', 'form']"
1,"['discovery', 'production', 'mutations', 'means', 'Xray', 'irradiation']"
2,"['lifelong', 'work', 'cause', 'peace']"
3,"['inspired', 'writings', 'growing', 'boldness', 'penetration', 'exemplify', 'classical', 'humanitarian', 'ideals', 'high', 'qualities', 'style']"
1,"['discovery', 'course', 'catalytic', 'conversion', 'glycogen']"
1,"['discovery', 'part', 'played', 'hormone', 'anterior', 'pituitary', 'lobe', 'metabolism', 'sugar']"
0,"['investigations', 'physics', 'upper', 'atmosphere', 'especially', 'discovery', 'socalled', 'Appleton', 'layer']"
3,"['comprehensive', 'artistically', 'significant', 'writings', 'human', 'problems', 'conditions', 'presented', 'fearless', 'love', 'truth', 'keen', 'psychological', 'insight']"
14,"['investigations', 'plant', 'products', 'biological', 'importance', 'especially', 'alkaloids']"
2,"['pioneering', 'work', 'international', 'peace', 'movement', 'compassionate', 'effort', 'relieve', 'human', 'suffering', 'thereby', 'promoting', 'fraternity', 'nations']"
2,"['pioneering', 'work', 'international', 'peace', 'movement', 'compassionate', 'effort', 'relieve', 'human', 'suffering', 'thereby', 'promoting', 'fraternity', 'nations']"
1,"['discovery', 'course', 'catalytic', 'conversion', 'glycogen']"
1,"['discovery', 'high', 'efficiency', 'DDT', 'contact', 'poison', 'several', 'arthropods']"
3,"['outstanding', 'pioneer', 'contribution', 'presentday', 'poetry']"
14,"['research', 'electrophoresis', 'adsorption', 'analysis', 'especially', 'discoveries', 'concerning', 'complex', 'nature', 'serum', 'proteins']"
0,"['development', 'Wilson', 'cloud', 'chamber', 'method', 'discoveries', 'therewith', 'fields', 'nuclear', 'physics', 'cosmic', 'radiation']"
1,"['discovery', 'therapeutic', 'value', 'leucotomy', 'certain', 'psychoses']"
14,"['contributions', 'field', 'chemical', 'thermodynamics', 'particularly', 'concerning', 'behaviour', 'substances', 'extremely', 'low', 'temperatures']"
1,"['discovery', 'functional', 'organization', 'interbrain', 'coordinator', 'activities', 'internal', 'organs']"
3,"['powerful', 'artistically', 'unique', 'contribution', 'modern', 'American', 'novel']"
2,"['lifelong', 'effort', 'conquer', 'hunger', 'want', 'thereby', 'helping', 'remove', 'major', 'cause', 'military', 'conflict', 'war']"
0,"['prediction', 'existence', 'mesons', 'basis', 'theoretical', 'work', 'nuclear', 'forces']"
3,"['recognition', 'varied', 'significant', 'writings', 'champions', 'humanitarian', 'ideals', 'freedom', 'thought']"
2,"['work', 'mediator', 'Palestine', '19481949']"
1,"['discoveries', 'relating', 'hormones', 'adrenal', 'cortex', 'structure', 'biological', 'effects']"
1,"['discoveries', 'relating', 'hormones', 'adrenal', 'cortex', 'structure', 'biological', 'effects']"
1,"['discoveries', 'relating', 'hormones', 'adrenal', 'cortex', 'structure', 'biological', 'effects']"
14,"['discovery', 'development', 'diene', 'synthesis']"
0,"['development', 'photographic', 'method', 'studying', 'nuclear', 'processes', 'discoveries', 'regarding', 'mesons', 'made', 'method']"
14,"['discovery', 'development', 'diene', 'synthesis']"
2,"['devoted', 'life', 'fight', 'war', 'promotion', 'social', 'justice', 'brotherhood', 'among', 'men', 'nations']"
3,"['artistic', 'vigour', 'true', 'independence', 'mind', 'endeavours', 'poetry', 'find', 'answers', 'eternal', 'questions', 'confronting', 'mankind']"
0,"['pioneer', 'work', 'transmutation', 'atomic', 'nuclei', 'artificially', 'accelerated', 'atomic', 'particles']"
0,"['pioneer', 'work', 'transmutation', 'atomic', 'nuclei', 'artificially', 'accelerated', 'atomic', 'particles']"
14,"['discoveries', 'chemistry', 'transuranium', 'elements']"
1,"['discoveries', 'concerning', 'yellow', 'fever', 'combat']"
14,"['discoveries', 'chemistry', 'transuranium', 'elements']"
0,"['development', 'new', 'methods', 'nuclear', 'magnetic', 'precision', 'measurements', 'discoveries', 'connection', 'therewith']"
14,"['invention', 'partition', 'chromatography']"
2,"['altruism', 'reverence', 'life', 'tireless', 'humanitarian', 'work', 'helped', 'making', 'idea', 'brotherhood', 'men', 'nations', 'living', 'one']"
1,"['discovery', 'streptomycin', 'first', 'antibiotic', 'effective', 'tuberculosis']"
14,"['invention', 'partition', 'chromatography']"
0,"['development', 'new', 'methods', 'nuclear', 'magnetic', 'precision', 'measurements', 'discoveries', 'connection', 'therewith']"
3,"['deep', 'spiritual', 'insight', 'artistic', 'intensity', 'novels', 'penetrated', 'drama', 'human', 'life']"
2,"['proposing', 'supervising', 'plan', 'economic', 'recovery', 'Europe']"
1,"['discovery', 'citric', 'acid', 'cycle']"
1,"['discovery', 'coenzyme', 'importance', 'intermediary', 'metabolism']"
0,"['demonstration', 'phase', 'contrast', 'method', 'especially', 'invention', 'phase', 'contrast', 'microscope']"
14,"['discoveries', 'field', 'macromolecular', 'chemistry']"
3,"['mastery', 'historical', 'biographical', 'description', 'well', 'brilliant', 'oratory', 'defending', 'exalted', 'human', 'values']"
