Year_x,Laureate_Id_x,Firstname,Lastname,Category_x,Prize_Share_x,Motivation_x,Year_y,Laureate_Id_y,Category_y,Prize_Share_y,Motivation_y
1903,4,Henri,Becquerel,physics,2,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",1903,4,physics,2,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity"""
1903,6,Marie,Curie,physics,4,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",1903,6,physics,4,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel"""
1903,6,Marie,Curie,physics,4,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",1911,6,chemistry,1,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element"""
1903,295,Niels Ryberg,Finsen,medicine,1,"""in recognition of his contribution to the treatment of diseases especially lupus vulgaris with concentrated light radiation whereby he has opened a new avenue for medical science""",1903,295,medicine,1,"""in recognition of his contribution to the treatment of diseases especially lupus vulgaris with concentrated light radiation whereby he has opened a new avenue for medical science"""
1903,572,Bjørnstjerne,Bjørnson,literature,1,"""as a tribute to his noble magnificent and versatile poetry which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",1903,572,literature,1,"""as a tribute to his noble magnificent and versatile poetry which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit"""
1903,162,Svante,Arrhenius,chemistry,1,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",1903,162,chemistry,1,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation"""
1904,574,José,Echegaray,literature,2,"""in recognition of the numerous and brilliant compositions which in an individual and original manner have revived the great traditions of the Spanish drama""",1904,574,literature,2,"""in recognition of the numerous and brilliant compositions which in an individual and original manner have revived the great traditions of the Spanish drama"""
1904,8,Lord,Rayleigh,physics,1,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",1904,8,physics,1,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies"""
1904,467,Institute of International Law,,peace,1,"""for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane""",1904,467,peace,1,"""for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane"""
1904,163,Sir William,Ramsay,chemistry,1,"""in recognition of his services in the discovery of the inert gaseous elements in air and his determination of their place in the periodic system""",1904,163,chemistry,1,"""in recognition of his services in the discovery of the inert gaseous elements in air and his determination of their place in the periodic system"""
1904,296,Ivan,Pavlov,medicine,1,"""in recognition of his work on the physiology of digestion through which knowledge on vital aspects of the subject has been transformed and enlarged""",1904,296,medicine,1,"""in recognition of his work on the physiology of digestion through which knowledge on vital aspects of the subject has been transformed and enlarged"""
1904,573,Frédéric,Mistral,literature,2,"""in recognition of the fresh originality and true inspiration of his poetic production which faithfully reflects the natural scenery and native spirit of his people and in addition his significant work as a Proven&ccedil;al philologist""",1904,573,literature,2,"""in recognition of the fresh originality and true inspiration of his poetic production which faithfully reflects the natural scenery and native spirit of his people and in addition his significant work as a Proven&ccedil;al philologist"""
1905,164,Adolf,von Baeyer,chemistry,1,"""in recognition of his services in the advancement of organic chemistry and the chemical industry through his work on organic dyes and hydroaromatic compounds""",1905,164,chemistry,1,"""in recognition of his services in the advancement of organic chemistry and the chemical industry through his work on organic dyes and hydroaromatic compounds"""
1905,575,Henryk,Sienkiewicz,literature,1,"""because of his outstanding merits as an epic writer""",1905,575,literature,1,"""because of his outstanding merits as an epic writer"""
1905,9,Philipp,Lenard,physics,1,"""for his work on cathode rays""",1905,9,physics,1,"""for his work on cathode rays"""
1905,468,Bertha,von Suttner,peace,1,"""for her audacity to oppose the horrors of war""",1905,468,peace,1,"""for her audacity to oppose the horrors of war"""
1905,297,Robert,Koch,medicine,1,"""for his investigations and discoveries in relation to tuberculosis""",1905,297,medicine,1,"""for his investigations and discoveries in relation to tuberculosis"""
1906,576,Giosuè,Carducci,literature,1,"""not only in consideration of his deep learning and critical research but above all as a tribute to the creative energy freshness of style and lyrical force which characterize his poetic masterpieces""",1906,576,literature,1,"""not only in consideration of his deep learning and critical research but above all as a tribute to the creative energy freshness of style and lyrical force which characterize his poetic masterpieces"""
1906,470,Theodore,Roosevelt,peace,1,"""for his role in bringing to an end the bloody war recently waged between two of the world's great powers Japan and Russia""",1906,470,peace,1,"""for his role in bringing to an end the bloody war recently waged between two of the world's great powers Japan and Russia"""
1906,10,J.J.,Thomson,physics,1,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""",1906,10,physics,1,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases"""
1906,299,Santiago,Ramón y Cajal,medicine,2,"""in recognition of their work on the structure of the nervous system""",1906,299,medicine,2,"""in recognition of their work on the structure of the nervous system"""
1906,165,Henri,Moissan,chemistry,1,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine and for the adoption in the service of science of the electric furnace called after him""",1906,165,chemistry,1,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine and for the adoption in the service of science of the electric furnace called after him"""
1906,298,Camillo,Golgi,medicine,2,"""in recognition of their work on the structure of the nervous system""",1906,298,medicine,2,"""in recognition of their work on the structure of the nervous system"""
1907,300,Alphonse,Laveran,medicine,1,"""in recognition of his work on the role played by protozoa in causing diseases""",1907,300,medicine,1,"""in recognition of his work on the role played by protozoa in causing diseases"""
1907,166,Eduard,Buchner,chemistry,1,"""for his biochemical researches and his discovery of cell-free fermentation""",1907,166,chemistry,1,"""for his biochemical researches and his discovery of cell-free fermentation"""
1907,577,Rudyard,Kipling,literature,1,"""in consideration of the power of observation originality of imagination virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author""",1907,577,literature,1,"""in consideration of the power of observation originality of imagination virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author"""
1907,472,Louis,Renault,peace,2,"""for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences""",1907,472,peace,2,"""for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences"""
1907,471,Ernesto Teodoro,Moneta,peace,2,"""for his work in the press and in peace meetings both public and private for an understanding between France and Italy""",1907,471,peace,2,"""for his work in the press and in peace meetings both public and private for an understanding between France and Italy"""
1907,11,Albert A.,Michelson,physics,1,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",1907,11,physics,1,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid"""
1908,167,Ernest,Rutherford,chemistry,1,"""for his investigations into the disintegration of the elements and the chemistry of radioactive substances""",1908,167,chemistry,1,"""for his investigations into the disintegration of the elements and the chemistry of radioactive substances"""
1908,578,Rudolf,Eucken,literature,1,"""in recognition of his earnest search for truth his penetrating power of thought his wide range of vision and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""",1908,578,literature,1,"""in recognition of his earnest search for truth his penetrating power of thought his wide range of vision and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life"""
1908,474,Fredrik,Bajer,peace,2,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",1908,474,peace,2,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors"""
1908,301,Ilya,Mechnikov,medicine,2,"""in recognition of their work on immunity""",1908,301,medicine,2,"""in recognition of their work on immunity"""
1908,302,Paul,Ehrlich,medicine,2,"""in recognition of their work on immunity""",1908,302,medicine,2,"""in recognition of their work on immunity"""
1908,473,Klas Pontus,Arnoldson,peace,2,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",1908,473,peace,2,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors"""
1908,12,Gabriel,Lippmann,physics,1,"""for his method of reproducing colours photographically based on the phenomenon of interference""",1908,12,physics,1,"""for his method of reproducing colours photographically based on the phenomenon of interference"""
1909,13,Guglielmo,Marconi,physics,2,"""in recognition of their contributions to the development of wireless telegraphy""",1909,13,physics,2,"""in recognition of their contributions to the development of wireless telegraphy"""
1909,303,Theodor,Kocher,medicine,1,"""for his work on the physiology pathology and surgery of the thyroid gland""",1909,303,medicine,1,"""for his work on the physiology pathology and surgery of the thyroid gland"""
1909,579,Selma,Lagerlöf,literature,1,"""in appreciation of the lofty idealism vivid imagination and spiritual perception that characterize her writings""",1909,579,literature,1,"""in appreciation of the lofty idealism vivid imagination and spiritual perception that characterize her writings"""
1909,168,Wilhelm,Ostwald,chemistry,1,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",1909,168,chemistry,1,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction"""
1909,14,Ferdinand,Braun,physics,2,"""in recognition of their contributions to the development of wireless telegraphy""",1909,14,physics,2,"""in recognition of their contributions to the development of wireless telegraphy"""
1909,475,Auguste,Beernaert,peace,2,"""for their prominent position in the international movement for peace and arbitration""",1909,475,peace,2,"""for their prominent position in the international movement for peace and arbitration"""
1909,476,Paul Henri,d'Estournelles de Constant,peace,2,"""for their prominent position in the international movement for peace and arbitration""",1909,476,peace,2,"""for their prominent position in the international movement for peace and arbitration"""
1910,580,Paul,Heyse,literature,1,"""as a tribute to the consummate artistry permeated with idealism which he has demonstrated during his long productive career as a lyric poet dramatist novelist and writer of world-renowned short stories""",1910,580,literature,1,"""as a tribute to the consummate artistry permeated with idealism which he has demonstrated during his long productive career as a lyric poet dramatist novelist and writer of world-renowned short stories"""
1910,477,Permanent International Peace Bureau,,peace,1,"""for acting as a link between the peace societies of the various countries and helping them to organize the world rallies of the international peace movement""",1910,477,peace,1,"""for acting as a link between the peace societies of the various countries and helping them to organize the world rallies of the international peace movement"""
1910,15,Johannes Diderik,van der Waals,physics,1,"""for his work on the equation of state for gases and liquids""",1910,15,physics,1,"""for his work on the equation of state for gases and liquids"""
1910,304,Albrecht,Kossel,medicine,1,"""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins including the nucleic substances""",1910,304,medicine,1,"""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins including the nucleic substances"""
1910,169,Otto,Wallach,chemistry,1,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",1910,169,chemistry,1,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds"""
1911,479,Alfred,Fried,peace,2,"""for his effort to expose and fight what he considers to be the main cause of war namely the anarchy in international relations""",1911,479,peace,2,"""for his effort to expose and fight what he considers to be the main cause of war namely the anarchy in international relations"""
1911,478,Tobias,Asser,peace,2,"""for his role as co-founder of the Institut de droit international initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague and pioneer in the field of international legal relations""",1911,478,peace,2,"""for his role as co-founder of the Institut de droit international initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague and pioneer in the field of international legal relations"""
1911,6,Marie,Curie,chemistry,1,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element""",1903,6,physics,4,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel"""
1911,6,Marie,Curie,chemistry,1,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element""",1911,6,chemistry,1,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element"""
1911,16,Wilhelm,Wien,physics,1,"""for his discoveries regarding the laws governing the radiation of heat""",1911,16,physics,1,"""for his discoveries regarding the laws governing the radiation of heat"""
1911,581,Maurice,Maeterlinck,literature,1,"""in appreciation of his many-sided literary activities and especially of his dramatic works which are distinguished by a wealth of imagination and by a poetic fancy which reveals sometimes in the guise of a fairy tale a deep inspiration while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations""",1911,581,literature,1,"""in appreciation of his many-sided literary activities and especially of his dramatic works which are distinguished by a wealth of imagination and by a poetic fancy which reveals sometimes in the guise of a fairy tale a deep inspiration while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations"""
1911,305,Allvar,Gullstrand,medicine,1,"""for his work on the dioptrics of the eye""",1911,305,medicine,1,"""for his work on the dioptrics of the eye"""
1912,582,Gerhart,Hauptmann,literature,1,"""primarily in recognition of his fruitful varied and outstanding production in the realm of dramatic art""",1912,582,literature,1,"""primarily in recognition of his fruitful varied and outstanding production in the realm of dramatic art"""
1912,306,Alexis,Carrel,medicine,1,"""in recognition of his work on vascular suture and the transplantation of blood vessels and organs""",1912,306,medicine,1,"""in recognition of his work on vascular suture and the transplantation of blood vessels and organs"""
1912,173,Paul,Sabatier,chemistry,2,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years""",1912,173,chemistry,2,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years"""
1912,172,Victor,Grignard,chemistry,2,"""for the discovery of the so-called Grignard reagent which in recent years has greatly advanced the progress of organic chemistry""",1912,172,chemistry,2,"""for the discovery of the so-called Grignard reagent which in recent years has greatly advanced the progress of organic chemistry"""
1912,17,Gustaf,Dalén,physics,1,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""",1912,17,physics,1,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys"""
1912,480,Elihu,Root,peace,1,"""for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries""",1912,480,peace,1,"""for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries"""
1913,307,Charles,Richet,medicine,1,"""in recognition of his work on anaphylaxis""",1913,307,medicine,1,"""in recognition of his work on anaphylaxis"""
1913,174,Alfred,Werner,chemistry,1,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""",1913,174,chemistry,1,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry"""
1913,481,Henri,La Fontaine,peace,1,"""for his unparalleled contribution to the organization of peaceful internationalism""",1913,481,peace,1,"""for his unparalleled contribution to the organization of peaceful internationalism"""
1913,583,Rabindranath,Tagore,literature,1,"""because of his profoundly sensitive fresh and beautiful verse by which with consummate skill he has made his poetic thought expressed in his own English words a part of the literature of the West""",1913,583,literature,1,"""because of his profoundly sensitive fresh and beautiful verse by which with consummate skill he has made his poetic thought expressed in his own English words a part of the literature of the West"""
1913,18,Heike,Kamerlingh Onnes,physics,1,"""for his investigations on the properties of matter at low temperatures which led inter alia to the production of liquid helium""",1913,18,physics,1,"""for his investigations on the properties of matter at low temperatures which led inter alia to the production of liquid helium"""
1914,19,Max,von Laue,physics,1,"""for his discovery of the diffraction of X-rays by crystals""",1914,19,physics,1,"""for his discovery of the diffraction of X-rays by crystals"""
1914,308,Robert,Bárány,medicine,1,"""for his work on the physiology and pathology of the vestibular apparatus""",1914,308,medicine,1,"""for his work on the physiology and pathology of the vestibular apparatus"""
1914,175,Theodore W.,Richards,chemistry,1,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""",1914,175,chemistry,1,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements"""
1915,20,William,Bragg,physics,2,"""for their services in the analysis of crystal structure by means of X-rays""",1915,20,physics,2,"""for their services in the analysis of crystal structure by means of X-rays"""
1915,21,Lawrence,Bragg,physics,2,"""for their services in the analysis of crystal structure by means of X-rays""",1915,21,physics,2,"""for their services in the analysis of crystal structure by means of X-rays"""
1915,176,Richard,Willstätter,chemistry,1,"""for his researches on plant pigments especially chlorophyll""",1915,176,chemistry,1,"""for his researches on plant pigments especially chlorophyll"""
1915,584,Romain,Rolland,literature,1,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings""",1915,584,literature,1,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings"""
1916,585,Verner,von Heidenstam,literature,1,"""in recognition of his significance as the leading representative of a new era in our literature""",1916,585,literature,1,"""in recognition of his significance as the leading representative of a new era in our literature"""
1917,482,International Committee of the Red Cross,,peace,1,"""for the efforts to take care of wounded soldiers and prisoners of war and their families""",1917,482,peace,1,"""for the efforts to take care of wounded soldiers and prisoners of war and their families"""
1917,482,International Committee of the Red Cross,,peace,1,"""for the efforts to take care of wounded soldiers and prisoners of war and their families""",1944,482,peace,1,"""for the great work it has performed during the war on behalf of humanity"""
1917,482,International Committee of the Red Cross,,peace,1,"""for the efforts to take care of wounded soldiers and prisoners of war and their families""",1963,482,peace,2,"""for promoting the principles of the Geneva Convention and cooperation with the UN"""
1917,22,Charles Glover,Barkla,physics,1,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""",1917,22,physics,1,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements"""
1917,586,Karl,Gjellerup,literature,2,"""for his varied and rich poetry which is inspired by lofty ideals""",1917,586,literature,2,"""for his varied and rich poetry which is inspired by lofty ideals"""
1917,587,Henrik,Pontoppidan,literature,2,"""for his authentic descriptions of present-day life in Denmark""",1917,587,literature,2,"""for his authentic descriptions of present-day life in Denmark"""
1918,23,Max,Planck,physics,1,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""",1918,23,physics,1,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta"""
1918,177,Fritz,Haber,chemistry,1,"""for the synthesis of ammonia from its elements""",1918,177,chemistry,1,"""for the synthesis of ammonia from its elements"""
1919,483,Woodrow,Wilson,peace,1,"""for his role as founder of the League of Nations""",1919,483,peace,1,"""for his role as founder of the League of Nations"""
1919,309,Jules,Bordet,medicine,1,"""for his discoveries relating to immunity""",1919,309,medicine,1,"""for his discoveries relating to immunity"""
1919,24,Johannes,Stark,physics,1,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""",1919,24,physics,1,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields"""
1919,588,Carl,Spitteler,literature,1,"""in special appreciation of his epic <I>Olympian Spring</I>""",1919,588,literature,1,"""in special appreciation of his epic <I>Olympian Spring</I>"""
1920,25,Charles Edouard,Guillaume,physics,1,"""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys""",1920,25,physics,1,"""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys"""
1920,178,Walther,Nernst,chemistry,1,"""in recognition of his work in thermochemistry""",1920,178,chemistry,1,"""in recognition of his work in thermochemistry"""
1920,310,August,Krogh,medicine,1,"""for his discovery of the capillary motor regulating mechanism""",1920,310,medicine,1,"""for his discovery of the capillary motor regulating mechanism"""
1920,484,Léon,Bourgeois,peace,1,"""for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations""",1920,484,peace,1,"""for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations"""
1920,589,Knut,Hamsun,literature,1,"""for his monumental work <I>Growth of the Soil</I>""",1920,589,literature,1,"""for his monumental work <I>Growth of the Soil</I>"""
1921,590,Anatole,France,literature,1,"""in recognition of his brilliant literary achievements characterized as they are by a nobility of style a profound human sympathy grace and a true Gallic temperament""",1921,590,literature,1,"""in recognition of his brilliant literary achievements characterized as they are by a nobility of style a profound human sympathy grace and a true Gallic temperament"""
1921,485,Hjalmar,Branting,peace,2,"""for their lifelong contributions to the cause of peace and organized internationalism""",1921,485,peace,2,"""for their lifelong contributions to the cause of peace and organized internationalism"""
1921,26,Albert,Einstein,physics,1,"""for his services to Theoretical Physics and especially for his discovery of the law of the photoelectric effect""",1921,26,physics,1,"""for his services to Theoretical Physics and especially for his discovery of the law of the photoelectric effect"""
1921,179,Frederick,Soddy,chemistry,1,"""for his contributions to our knowledge of the chemistry of radioactive substances and his investigations into the origin and nature of isotopes""",1921,179,chemistry,1,"""for his contributions to our knowledge of the chemistry of radioactive substances and his investigations into the origin and nature of isotopes"""
1921,486,Christian,Lange,peace,2,"""for their lifelong contributions to the cause of peace and organized internationalism""",1921,486,peace,2,"""for their lifelong contributions to the cause of peace and organized internationalism"""
1922,27,Niels,Bohr,physics,1,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them""",1922,27,physics,1,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them"""
1922,487,Fridtjof,Nansen,peace,1,"""for his leading role in the repatriation of prisoners of war in international relief work and as the League of Nations' High Commissioner for refugees""",1922,487,peace,1,"""for his leading role in the repatriation of prisoners of war in international relief work and as the League of Nations' High Commissioner for refugees"""
1922,180,Francis W.,Aston,chemistry,1,"""for his discovery by means of his mass spectrograph of isotopes in a large number of non-radioactive elements and for his enunciation of the whole-number rule""",1922,180,chemistry,1,"""for his discovery by means of his mass spectrograph of isotopes in a large number of non-radioactive elements and for his enunciation of the whole-number rule"""
1922,312,Otto,Meyerhof,medicine,2,"""for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle""",1922,312,medicine,2,"""for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle"""
1922,592,Jacinto,Benavente,literature,1,"""for the happy manner in which he has continued the illustrious traditions of the Spanish drama""",1922,592,literature,1,"""for the happy manner in which he has continued the illustrious traditions of the Spanish drama"""
1922,311,Archibald V.,Hill,medicine,2,"""for his discovery relating to the production of heat in the muscle""",1922,311,medicine,2,"""for his discovery relating to the production of heat in the muscle"""
1923,313,Frederick G.,Banting,medicine,2,"""for the discovery of insulin""",1923,313,medicine,2,"""for the discovery of insulin"""
1923,314,John,Macleod,medicine,2,"""for the discovery of insulin""",1923,314,medicine,2,"""for the discovery of insulin"""
1923,28,Robert A.,Millikan,physics,1,"""for his work on the elementary charge of electricity and on the photoelectric effect""",1923,28,physics,1,"""for his work on the elementary charge of electricity and on the photoelectric effect"""
1923,181,Fritz,Pregl,chemistry,1,"""for his invention of the method of micro-analysis of organic substances""",1923,181,chemistry,1,"""for his invention of the method of micro-analysis of organic substances"""
1923,593,William Butler,Yeats,literature,1,"""for his always inspired poetry which in a highly artistic form gives expression to the spirit of a whole nation""",1923,593,literature,1,"""for his always inspired poetry which in a highly artistic form gives expression to the spirit of a whole nation"""
1924,594,Wladyslaw,Reymont,literature,1,"""for his great national epic <I>The Peasants</I>""",1924,594,literature,1,"""for his great national epic <I>The Peasants</I>"""
1924,315,Willem,Einthoven,medicine,1,"""for his discovery of the mechanism of the electrocardiogram""",1924,315,medicine,1,"""for his discovery of the mechanism of the electrocardiogram"""
1924,29,Manne,Siegbahn,physics,1,"""for his discoveries and research in the field of X-ray spectroscopy""",1924,29,physics,1,"""for his discoveries and research in the field of X-ray spectroscopy"""
1925,30,James,Franck,physics,2,"""for their discovery of the laws governing the impact of an electron upon an atom""",1925,30,physics,2,"""for their discovery of the laws governing the impact of an electron upon an atom"""
1925,31,Gustav,Hertz,physics,2,"""for their discovery of the laws governing the impact of an electron upon an atom""",1925,31,physics,2,"""for their discovery of the laws governing the impact of an electron upon an atom"""
1925,488,Sir Austen,Chamberlain,peace,2,"""for his crucial role in bringing about the Locarno Treaty""",1925,488,peace,2,"""for his crucial role in bringing about the Locarno Treaty"""
1925,489,Charles G.,Dawes,peace,2,"""for his crucial role in bringing about the Dawes Plan""",1925,489,peace,2,"""for his crucial role in bringing about the Dawes Plan"""
1925,182,Richard,Zsigmondy,chemistry,1,"""for his demonstration of the heterogenous nature of colloid solutions and for the methods he used which have since become fundamental in modern colloid chemistry""",1925,182,chemistry,1,"""for his demonstration of the heterogenous nature of colloid solutions and for the methods he used which have since become fundamental in modern colloid chemistry"""
1925,596,George Bernard,Shaw,literature,1,"""for his work which is marked by both idealism and humanity its stimulating satire often being infused with a singular poetic beauty""",1925,596,literature,1,"""for his work which is marked by both idealism and humanity its stimulating satire often being infused with a singular poetic beauty"""
1926,491,Gustav,Stresemann,peace,2,"""for their crucial role in bringing about the Locarno Treaty""",1926,491,peace,2,"""for their crucial role in bringing about the Locarno Treaty"""
